,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
0,LCS,35.5,1,21,14,52,0,0.5915492957999999,0.3943661972,0.9859154929999999,0,12.55663333,2,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.36941667,1.0,15.16268333,1.0,0,1.0,0.0,70545.0,1987.1830989999999,109.0,3.070422535,51.0,1.4366197180000002,69022.0,1293.464789,65108.0,0.11096611039999998,151.0,24.0,31.8028169,16118.0,15436.0,682.0,24287.0,23616.0,671.0,19260.0,18621.0,639.0,334.0,316.0,18.0,548.0,535.0,13.0
1,LCS,35.5,0,14,21,32,1,0.3943661972,0.5915492957999999,0.9859154929999999,1,12.55663333,2,2,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.36941667,0.0,15.16268333,0.0,1,0.0,1.0,71736.0,2020.732394,108.0,3.042253521,37.0,1.042253521,61541.0,1082.7323939999999,58263.0,-0.11096611039999998,155.0,4.0,32.98591549,15436.0,16118.0,-682.0,23616.0,24287.0,-671.0,18621.0,19260.0,-639.0,316.0,334.0,-18.0,535.0,548.0,-13.0
2,LCS,29.7,1,11,4,25,1,0.3703703704,0.1346801347,0.5050505050999999,1,12.30696667,2,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.37743333,1.0,12.7916,1.0,1,1.0,0.0,51538.0,1735.286195,96.0,3.2323232319999997,44.0,1.4814814809999999,59081.0,1330.8619529999999,50910.0,0.1358673421,102.0,56.0,35.65656566,16270.0,14985.0,1285.0,27399.0,23026.0,4373.0,19015.0,18226.0,789.0,316.0,335.0,-19.0,509.0,506.0,3.0
3,LCS,29.7,0,4,11,10,0,0.1346801347,0.3703703704,0.5050505050999999,0,12.30696667,1,2,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.37743333,0.0,12.7916,0.0,0,0.0,1.0,38185.0,1285.690236,93.0,3.131313131,41.0,1.38047138,45794.0,883.4882154999999,44433.0,-0.1358673421,82.0,0.0,33.26599327,14985.0,16270.0,-1285.0,23026.0,27399.0,-4373.0,18226.0,19015.0,-789.0,335.0,316.0,19.0,506.0,509.0,-3.0
4,LCS,31.98333333,1,12,3,26,1,0.3751954143,0.09379885357000001,0.46899426780000003,0,10.15893333,3,1,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.24278333,0.0,14.38633333,1.0,1,1.0,0.0,49421.0,1545.211047,143.0,4.471078686999999,44.0,1.375716519,61326.0,1262.351225,54340.0,0.15816909099999998,128.0,18.0,34.29911412,16157.0,14365.0,1792.0,26339.0,22782.0,3557.0,19284.0,18656.0,628.0,322.0,305.0,17.0,512.0,470.0,42.0
5,LCS,31.98333333,0,3,12,4,0,0.09379885357000001,0.3751954143,0.46899426780000003,1,10.15893333,1,3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.24278333,1.0,14.38633333,0.0,0,0.0,1.0,26486.0,828.1188119,80.0,2.501302762,69.0,2.157373632,48986.0,876.5252736,46375.0,-0.15816909099999998,136.0,5.0,31.95414278,14365.0,16157.0,-1792.0,22782.0,26339.0,-3557.0,18656.0,19284.0,-628.0,305.0,322.0,-17.0,470.0,512.0,-42.0
6,LCS,38.88333333,0,9,14,16,0,0.23146163739999998,0.36005143590000005,0.5915130733,0,9.21785,3,2,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,15.91036667,1.0,17.64288333,1.0,1,0.0,1.0,89202.0,2294.0934420000003,156.0,4.012001715,88.0,2.263180454,61952.0,945.8396913999999,59625.0,-0.06733924881,157.0,22.0,32.94470639,16107.0,16223.0,-116.0,24066.0,23318.0,748.0,18307.0,18250.0,57.0,310.0,313.0,-3.0,473.0,467.0,6.0
7,LCS,38.88333333,1,14,9,34,1,0.36005143590000005,0.23146163739999998,0.5915130733,1,9.21785,2,3,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,15.91036667,0.0,17.64288333,0.0,0,1.0,0.0,52709.0,1355.5679380000001,173.0,4.44920703,78.0,2.006000857,70016.0,1153.229318,63780.0,0.06733924881,128.0,15.0,32.81611659,16223.0,16107.0,116.0,23318.0,24066.0,-748.0,18250.0,18307.0,-57.0,313.0,310.0,3.0,467.0,473.0,-6.0
8,LCS,28.6,1,10,2,30,1,0.3496503497,0.06993006992999999,0.41958041960000003,1,7.632033333,4,0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.29911667,1.0,11.7289,0.0,1,1.0,0.0,31891.0,1115.06993,103.0,3.601398601,64.0,2.237762238,56851.0,1327.615385,47031.0,0.08491538385,104.0,13.0,37.7972028,16356.0,15378.0,978.0,25719.0,24055.0,1664.0,18205.0,18488.0,-283.0,335.0,340.0,-5.0,547.0,548.0,-1.0
9,LCS,28.6,0,2,10,6,0,0.06993006992999999,0.3496503497,0.41958041960000003,0,7.632033333,0,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.29911667,0.0,11.7289,1.0,0,0.0,1.0,28073.0,981.5734266000001,129.0,4.51048951,43.0,1.503496503,45207.0,920.4825175000001,43200.0,-0.08491538385,130.0,0.0,34.86013986,15378.0,16356.0,-978.0,24055.0,25719.0,-1664.0,18488.0,18205.0,283.0,340.0,335.0,5.0,548.0,547.0,1.0
