,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15
0,WC,26.53333333,0,7,22,18,0,0.2638190955,0.8291457286,1.092964824,1,9.717566667,1,2,1,2,0,0,0,1,0,0,0,13.10958333,0,13.58856667,0,0,1,37133,1399.484925, , ,104,3.91959799,28,1.055276382,41227,889.8467337000001,38960,-0.2434625789,106,1,28.79396985,16355,17427,-1072,23545,29323,-5778,19217,19420,-203,315,318,-3,460,516
1,WC,26.53333333,1,22,7,51,1,0.8291457286,0.2638190955,1.092964824,0,9.717566667,2,1,2,1,0,1,0,1,0,0,1,13.10958333,1,13.58856667,1,1,0,59544,2244.1206030000003, , ,80,3.015075377,51,1.9221105530000002,56670,1471.869347,49760,0.2434625789,114,23,33.01507538,17427,16355,1072,29323,23545,5778,19420,19217,203,318,315,3,516,460
2,WC,38.06666667,0,8,16,17,1,0.2101576182,0.4203152364,0.6304728546,0,17.12161667,0,4,0,4,0,0,0,0,0,0,1,13.11418333,0,13.69641667,0,0,2,51747,1359.378284, , ,136,3.57267951,54,1.4185639230000002,61900,977.8949212000001,58800,-0.08539216085000001,128,9,31.31348511,15086,15316,-230,22236,24164,-1928,17871,19418,-1547,295,289,6,444,453
3,WC,38.06666667,1,16,8,34,0,0.4203152364,0.2101576182,0.6304728546,1,17.12161667,4,0,4,0,1,0,1,2,0,0,0,13.11418333,1,13.69641667,1,2,0,73706,1936.2346760000003, , ,135,3.546409807,62,1.628721541,68625,1154.558669,64045,0.08539216085000001,103,42,28.18739054,15316,15086,230,24164,22236,1928,19418,17871,1547,289,295,-6,453,444
4,WC,37.58333333,1,18,8,51,0,0.47893569840000005,0.2128603104,0.6917960089,1,8.318133332999999,4,0,4,0,1,2,1,0,0,0,1,15.58338333,1,17.61388333,1,1,0,72107,1918.5898, , ,115,3.059866962,78,2.075388027,69069,1189.090909,60483,0.03576206865,158,13,32.54101996,15282,15331,-49,23879,24123,-244,18055,17943,112,337,312,25,534,496
5,WC,37.58333333,0,8,18,12,1,0.2128603104,0.47893569840000005,0.6917960089,0,8.318133332999999,0,4,0,4,0,0,0,0,0,0,0,15.58338333,0,17.61388333,0,0,1,52317,1392.026608, , ,134,3.5654102,57,1.5166297119999999,60326,956.4611973,58358,-0.03576206865,147,14,31.26385809,15331,15282,49,24123,23879,244,17943,18055,-112,312,337,-25,496,534
6,WC,39.48333333,0,12,16,24,0,0.303925707,0.4052342761,0.7091599831000001,0,10.07878333,1,4,1,4,0,0,1,0,0,0,1,19.75225,0,16.11978333,1,0,1,72286,1830.7978050000002, , ,161,4.077669903,72,1.823554242,64460,985.6867877000001,61995,-0.07503318507000001,172,16,29.68341072,15262,16064,-802,23614,24759,-1145,19074,19298,-224,328,351,-23,514,567
7,WC,39.48333333,1,16,12,34,1,0.4052342761,0.303925707,0.7091599831000001,1,10.07878333,4,1,4,1,0,3,0,1,0,0,0,19.75225,1,16.11978333,0,1,0,73735,1867.496834, , ,167,4.229632756,95,2.4060785140000003,74977,1252.052343,66828,0.07503318507000001,175,7,35.86323343,16064,15262,802,24759,23614,1145,19298,19074,224,351,328,23,567,514
8,WC,39.01666667,0,2,10,2,1,0.05126014524,0.2563007262,0.3075608714,0,9.144633333,1,5,1,4,1,0,0,0,0,1,0,11.0139,0,12.67216667,0,1,1,25757,660.1537804, , ,130,3.33190944,73,1.870995301,60015,890.8705681,56400,-0.1822576746,160,0,32.98590346,14961,15520,-559,22211,25130,-2919,18196,18022,174,319,328,-9,507,517
9,WC,39.01666667,1,10,2,22,0,0.2563007262,0.05126014524,0.3075608714,1,9.144633333,5,1,4,1,1,3,0,0,1,0,1,11.0139,1,12.67216667,1,1,1,48676,1247.569415, , ,161,4.126441692,68,1.7428449380000002,71976,1197.431867,67710,0.1822576746,170,43,33.26783426,15520,14961,559,25130,22211,2919,18022,18196,-174,328,319,9,517,507
